"시도별","시점","15세이상인구[천명]","경제활동인구[천명]","취업자[천명]","실업자[천명]","비경제활동인구[천명]","경제활동참가율[%]","실업률[%]","고용률[%]","15-64세 고용률[%]",
"계","2019.04 월","44443.5","28283.5","27038.3","1245.1","16160","63.6","4.4","60.8","66.5",
"계","2019.05 월","44459.8","28467.5","27322.4","1145.1","15992.3","64","4","61.5","67.1",
"계","2019.06 월","44495.4","28544.8","27407.6","1137.2","15950.6","64.2","4","61.6","67.2",
"계","2019.07 월","44529.8","28480.1","27382.8","1097.3","16049.6","64","3.9","61.5","67.1",
"계","2019.08 월","44546.1","28216","27358.4","857.6","16330.1","63.3","3","61.4","67",
"계","2019.09 월","44572.6","28287.6","27403.7","883.9","16285.1","63.5","3.1","61.5","67.1",
"계","2019.10 월","44600.9","28373.1","27508.9","864.2","16227.8","63.6","3","61.7","67.3",
"계","2019.11 월","44625","28380.4","27514.7","865.7","16244.6","63.6","3.1","61.7","67.4",
"계","2019.12 월","44660.9","28095.3","27153.7","941.6","16565.6","62.9","3.4","60.8","67.1",
"계","2020.01 월","44665.4","27952.3","26799.7","1152.7","16713","62.6","4.1","60","66.7",
"계","2020.02 월","44698.2","27990.6","26837.8","1152.8","16707.6","62.6","4.1","60","66.3",
"계","2020.03 월","44712.1","27789.1","26609.3","1179.7","16923.1","62.2","4.2","59.5","65.4",
"계","2020.04 월","44724.7","27733.8","26562.1","1171.7","16990.9","62","4.2","59.4","65.1",
"계","2020.05 월","44756.2","28208.6","26930.2","1278.4","16547.5","63","4.5","60.2","65.8",
"계","2020.06 월","44775.3","28283.3","27055.2","1228","16492.1","63.2","4.3","60.4","65.9",
"계","2020.07 월","44795.1","28243.8","27106","1137.8","16551.3","63.1","4","60.5","66",
"계","2020.08 월","44812.6","27948.7","27084.7","864","16863.9","62.4","3.1","60.4","65.9",
"계","2020.09 월","44829","28011.7","27011.7","1000","16817.3","62.5","3.6","60.3","65.7",
"계","2020.10 월","44852.3","28116.4","27088.4","1028.1","16735.9","62.7","3.7","60.4","65.9",
"계","2020.11 월","44883.5","28208","27241.3","966.7","16675.4","62.8","3.4","60.7","66.3",
"계","2020.12 월","44916","27660.9","26525.6","1135.4","17255.1","61.6","4.1","59.1","65.3",
"계","2021.01 월","44968","27388","25818.1","1569.9","17580","60.9","5.7","57.4","64.3",
"계","2021.02 월","44987.2","27717.9","26364.6","1353.3","17269.3","61.6","4.9","58.6","64.8",
"계","2021.03 월","45007","28138.3","26922.9","1215.4","16868.7","62.5","4.3","59.8","65.7",
